priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
62356,37.75,-46.75,ZAF,,,,,,,,,,,,,,,,old_only,dropped_by_land_gaul
79599,19.25,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,19.25,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
79600,19.75,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,19.75,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
79601,20.25,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,20.25,-34.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
80317,18.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,18.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,both,identical
80318,18.75,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,18.75,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,both,identical
80319,19.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,19.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
80320,19.75,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,19.75,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
80321,20.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,20.25,-34.25,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
80322,20.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,20.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80323,21.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,21.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80324,21.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,21.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80325,22.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,22.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80326,22.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,22.75,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80327,23.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,23.25,-34.25,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
80328,23.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,23.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
80329,24.25,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.25,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
80330,24.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
80331,25.25,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,25.25,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,both,identical
80332,25.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,25.75,-34.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,both,identical
81037,18.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,18.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,both,identical
81038,18.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,18.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105658.0,City Of Cape Town,both,identical
81039,19.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81040,19.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81041,20.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,20.25,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81042,20.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,20.75,-33.75,ZAF,1616.0,Western Cape,159.0,South Africa,105659.0,Overberg,both,identical
81043,21.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,21.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
81044,21.75,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,21.75,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
81045,22.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,22.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
81046,22.75,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,22.75,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
81047,23.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,23.25,-33.75,ZAF,1615.0,Wc,159.0,South Africa,105655.0,Garden Route,both,identical
81048,23.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,23.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81049,24.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81050,24.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81051,25.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,25.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81052,25.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,25.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105614.0,Nelson Mandela Bay,both,identical
81053,26.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,26.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81054,26.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,26.75,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81055,27.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,27.25,-33.75,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81756,17.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,17.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
81757,18.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,18.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
81758,18.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,18.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
81759,19.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81760,19.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81761,20.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,20.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
81762,20.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,20.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
81763,21.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,21.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
81764,21.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,21.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
81765,22.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,22.25,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
81766,22.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,22.75,-33.25,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
81767,23.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,23.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81768,23.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,23.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81769,24.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81770,24.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,24.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81771,25.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,25.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81772,25.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,25.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81773,26.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,26.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81774,26.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,26.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105616.0,Sarah Baartman,both,identical
81775,27.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105610.0,Amathole,27.25,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105610.0,Amathole,both,identical
81776,27.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105611.0,Buffalo City,27.75,-33.25,ZAF,1607.0,Eastern Cape,159.0,South Africa,105611.0,Buffalo City,both,identical
82476,17.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,17.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
82477,18.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,18.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
82478,18.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,18.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105660.0,West Coast,both,identical
82479,19.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
82480,19.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,19.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
82481,20.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,20.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105656.0,Cape Winelands,both,identical
82482,20.75,-32.75,ZAF,1614.0,Northern Cape,159.0,South Africa,105652.0,Namakwa,20.75,-32.75,ZAF,1614.0,Northern Cape,159.0,South Africa,105652.0,Namakwa,both,identical
82483,21.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,21.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
82484,21.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,21.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
82485,22.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,22.25,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
82486,22.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,22.75,-32.75,ZAF,1616.0,Western Cape,159.0,South Africa,105657.0,Central Karoo,both,identical
